"Stock","Year","Season","Area","Country","Effort","Catch.Cat.","Report.cat.","Fleets","Caton","SampledCatch","NumAgeMeasurement","NumLengthMeasurements","NumSamplesAge","NumSamplesLength","MaleAge1","MaleAge2","MaleAge3","MaleAge4","MaleAge5","MaleAge6","MaleAge7","MaleAge8","MaleAge9","MaleAge10","MaleAge11","MaleAge12","MaleAge13","MaleAge14","MaleAge15","MaleAge16","MaleAge17","MaleAge19","FemaleAge1","FemaleAge2","FemaleAge3","FemaleAge4","FemaleAge5","FemaleAge6","FemaleAge7","FemaleAge8","FemaleAge9","FemaleAge10","FemaleAge11","FemaleAge12","FemaleAge13","FemaleAge14","FemaleAge15","FemaleAge16","FemaleAge17","FemaleAge19","UndeterminedAge1","UndeterminedAge2","UndeterminedAge3","UndeterminedAge4","UndeterminedAge5","UndeterminedAge6","UndeterminedAge7","UndeterminedAge8","UndeterminedAge9","UndeterminedAge10","UndeterminedAge11","UndeterminedAge12","UndeterminedAge13","UndeterminedAge14","UndeterminedAge15","UndeterminedAge16","UndeterminedAge17","UndeterminedAge19","X","MaleAge0","FemaleAge0","UndeterminedAge0","MaleAge18","FemaleAge18","UndeterminedAge18","MaleAge20","MaleAge21","MaleAge22","FemaleAge20","FemaleAge21","FemaleAge22","UndeterminedAge20","UndeterminedAge21","UndeterminedAge22","MaleAge27","FemaleAge27","UndeterminedAge27","MaleAge23","MaleAge24","FemaleAge23","FemaleAge24","UndeterminedAge23","UndeterminedAge24","MaleAge26","FemaleAge26","UndeterminedAge26"
"ple.27.7e",2023,"3","27.7.e","France",1246356,"L","R-Reported","OTB_DEF_100-119_0_0",16959.63,0,0,156,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.84,26441.36,8211.88,0,0,6441.65,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"1","27.7.e","UK (England)",214299,"D","A-All - reporte","OTB_DEF_>=120_0_0_all",3339,0,108,120,11,9,0,334.09,1562.61,2012.02,1369.4,104.99,29.63,2.71,1.36,0,0,0,0,0,0,0,0,0,0,837.02,4045.54,5537.37,4013.03,340.36,104.14,9.82,6.6,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"3","27.7.e","France",362543,"L","R-Reported","OTB_DEF_70-99_0_0",3469.44,0,0,74,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.63,5650.86,958.43,0,0,1362.54,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"2","27.7.e","UK (England)",141254,"D","A-All - reporte","GNS_DEF_all_0_0_all",2483,0,66,51,7,12,0,1319.56,778.52,774.36,390.15,7.74,2.08,0,0,0,0,0,0,0,0,0,0,0,0,4585.72,2835.83,2909.64,1526.39,30.95,8.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"4","27.7.e","UK (England)",1058685,"D","A-All - reporte","TBB_DEF_70-99_0_0_all",5585,0,100,177,7,21,0,5533.87,6702.14,4046.48,1825.39,639.39,112.41,0.38,0,0,0,0,0,0,0,0,0,0,0,2693,5126.09,3885.4,1951,732.19,133.73,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"1","27.7.e","UK (England)",989179,"D","A-All - reporte","TBB_DEF_70-99_0_0_all",5861,0,108,353,11,37,0,1020.05,4047.16,4282.6,2710.76,203.24,58.75,5.23,3.14,0.63,0,0,0,0,0,0,0,0,0,1514.24,6887.67,8875.91,6413.76,587.23,204.6,31.99,25.41,13.17,1.15,1.15,0.31,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"3","27.7.e","UK (England)",219358,"L","A-All - reporte","OTB_DEF_>=120_0_0_all",19554,0,573,1352,25,23,0,1413.61,1421.79,1516.4,957.81,126.62,35.19,11.31,0.62,1.23,0.03,0.03,0,0,0,0,0,0,0,8042.3,11204.67,16637.16,15980.58,3260.78,1400.84,670.85,309.39,316.35,77.86,46.3,20.87,2.51,7.49,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"4","27.7.e","UK (England)",124644,"L","A-All - reporte","GNS_DEF_all_0_0_all",5699,0,614,34,22,22,0,3.45,73.04,196.12,178.86,100.07,22.43,1.15,0,0,0,0,0,0,0,0,0,0,0,8.63,144.36,890.28,2250.43,3171.2,1300.92,612.5,312.29,232.35,143.78,66.71,54.64,11.5,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"3","27.7.e","UK (England)",124230,"L","A-All - reporte","GNS_DEF_all_0_0_all",9182,0,573,70,25,8,0,221.73,313.68,410.85,299.99,42.39,11.74,3.91,0,0.65,0,0,0,0,0,0,0,0,0,1236.46,2810.73,5888.19,7640.5,1887.95,907.13,466.93,273.9,251.08,76.3,46.95,26.09,3.91,6.52,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"3","27.7.e","UK (England)",219358,"D","A-All - reporte","OTB_DEF_>=120_0_0_all",3644,0,56,137,6,14,0,2336.61,1520.08,1144.16,501.53,47.84,9.63,2.11,0,0,0,0,0,0,0,0,0,0,0,5377.82,4115.88,3527.25,1768.29,188.79,43.02,12.64,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
