"Stock","Year","Season","Area","Country","Effort","Catch.Cat.","Report.cat.","Fleets","Caton","SampledCatch","NumAgeMeasurement","NumLengthMeasurements","NumSamplesAge","NumSamplesLength","MaleLngt160","MaleLngt170","MaleLngt180","MaleLngt190","MaleLngt200","MaleLngt210","MaleLngt220","MaleLngt230","MaleLngt240","MaleLngt250","MaleLngt260","MaleLngt270","MaleLngt280","MaleLngt290","MaleLngt300","MaleLngt310","MaleLngt320","MaleLngt330","MaleLngt340","MaleLngt350","MaleLngt360","MaleLngt370","MaleLngt380","MaleLngt390","MaleLngt400","MaleLngt410","MaleLngt420","MaleLngt430","MaleLngt440","MaleLngt450","MaleLngt460","MaleLngt470","MaleLngt480","MaleLngt490","MaleLngt500","MaleLngt510","MaleLngt520","MaleLngt530","MaleLngt540","MaleLngt550","MaleLngt560","MaleLngt570","MaleLngt580","MaleLngt590","MaleLngt600","MaleLngt610","MaleLngt620","MaleLngt630","MaleLngt640","MaleLngt660","MaleLngt710","FemaleLngt160","FemaleLngt170","FemaleLngt180","FemaleLngt190","FemaleLngt200","FemaleLngt210","FemaleLngt220","FemaleLngt230","FemaleLngt240","FemaleLngt250","FemaleLngt260","FemaleLngt270","FemaleLngt280","FemaleLngt290","FemaleLngt300","FemaleLngt310","FemaleLngt320","FemaleLngt330","FemaleLngt340","FemaleLngt350","FemaleLngt360","FemaleLngt370","FemaleLngt380","FemaleLngt390","FemaleLngt400","FemaleLngt410","FemaleLngt420","FemaleLngt430","FemaleLngt440","FemaleLngt450","FemaleLngt460","FemaleLngt470","FemaleLngt480","FemaleLngt490","FemaleLngt500","FemaleLngt510","FemaleLngt520","FemaleLngt530","FemaleLngt540","FemaleLngt550","FemaleLngt560","FemaleLngt570","FemaleLngt580","FemaleLngt590","FemaleLngt600","FemaleLngt610","FemaleLngt620","FemaleLngt630","FemaleLngt640","FemaleLngt660","FemaleLngt710","UndeterminedLngt160","UndeterminedLngt170","UndeterminedLngt180","UndeterminedLngt190","UndeterminedLngt200","UndeterminedLngt210","UndeterminedLngt220","UndeterminedLngt230","UndeterminedLngt240","UndeterminedLngt250","UndeterminedLngt260","UndeterminedLngt270","UndeterminedLngt280","UndeterminedLngt290","UndeterminedLngt300","UndeterminedLngt310","UndeterminedLngt320","UndeterminedLngt330","UndeterminedLngt340","UndeterminedLngt350","UndeterminedLngt360","UndeterminedLngt370","UndeterminedLngt380","UndeterminedLngt390","UndeterminedLngt400","UndeterminedLngt410","UndeterminedLngt420","UndeterminedLngt430","UndeterminedLngt440","UndeterminedLngt450","UndeterminedLngt460","UndeterminedLngt470","UndeterminedLngt480","UndeterminedLngt490","UndeterminedLngt500","UndeterminedLngt510","UndeterminedLngt520","UndeterminedLngt530","UndeterminedLngt540","UndeterminedLngt550","UndeterminedLngt560","UndeterminedLngt570","UndeterminedLngt580","UndeterminedLngt590","UndeterminedLngt600","UndeterminedLngt610","UndeterminedLngt620","UndeterminedLngt630","UndeterminedLngt640","UndeterminedLngt660","UndeterminedLngt710","MaleLngt150","MaleLngt650","FemaleLngt150","FemaleLngt650","UndeterminedLngt150","UndeterminedLngt650","MaleLngt120","MaleLngt140","FemaleLngt120","FemaleLngt140","UndeterminedLngt120","UndeterminedLngt140","MaleLngt670","FemaleLngt670","UndeterminedLngt670","MaleLngt690","FemaleLngt690","UndeterminedLngt690"
"ple.27.7e",2022,"3","27.7.e","France",399000,"L","R-Reported","OTB_DEF_70-99_0_0",6425.19,0,0,102,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.81,138.81,1388.15,971.7,1526.96,971.7,2498.67,1249.33,1388.15,971.7,832.89,971.7,416.44,416.44,0,277.63,0,0,832.89,138.81,0,138.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"4","27.7.e","UK (England)",-9,"L","A-All - reporte","OTB_DEF_>=120_0_0_all",19909,0,0,598,0,14,0,0,0,0,0,0,0,0,0,0,0,0,545.58,898.22,394.55,503.67,67.2,1183.65,747.18,243.52,109.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.52,948.79,2686.67,3232.25,4726.62,5423.23,6572.95,3399.92,4432.53,2434.5,2107.15,1620.12,1687.32,1007.33,1141.73,570.87,109.12,327.35,67.2,201.6,67.2,218.23,0,109.12,109.12,0,109.12,0,109.12,109.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"1","27.7.e","UK (England)",-9,"D","A-All - reporte","OTB_DEF_70-99_0_0_all",1825,0,0,59,0,5,0,0,0,254.73,0,509.45,1018.9,764.18,254.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.73,0,1273.63,1528.35,1273.63,1783.08,3311.43,0,2037.8,254.73,0,509.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"4","27.7.e","UK (England)",-9,"D","A-All - reporte","TBB_DEF_70-99_0_0_all",10426,0,0,62,0,13,0,0,0,0,0,0,0,0,1790.12,3580.23,8055.52,895.06,895.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895.06,0,0,0,0,3580.23,8055.52,17901.15,8055.52,895.06,895.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"1","27.7.e","UK (England)",-9,"L","A-All - reporte","OTB_DEF_>=120_0_0_all",23142,0,0,1594,0,29,0,0,0,0,0,0,0,0,0,12.18,36.53,315.8,313.31,721.99,1424.77,1282.66,1659.76,697.64,910.45,513.79,586.7,460.51,465.09,0,0,0,109.44,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.61,48.7,990.22,1725.24,5055.78,6172.57,5682.64,5721.11,4484.38,2894.97,2763.5,2552.7,899.91,2068.29,995.91,982.79,1166.42,1102.23,908.13,36.53,443.99,273.52,218.88,453.86,521.48,299.63,222.8,121.62,109.44,0,234.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"3","27.7.e","France",1196103,"L","R-Reported","OTB_DEF_100-119_0_0",10243.77,0,0,304,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560.06,854.58,1845.18,2102.26,2887.3,2373.02,2391.87,2935.61,2081.38,1398.32,1419.44,1561.71,838.26,951.64,327.04,438.82,74.52,178.01,289.78,535.64,186.29,261.4,37.26,140.75,74.52,0,37.26,166.6,37.26,0,0,37.26,37.26,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"1","27.7.e","France",207425,"D","R-Reported","OTB_DEF_70-99_0_0",5047.11,0,0,38,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068.29,3204.86,1068.29,0,12112.47,5341.43,4273.14,2136.57,3204.86,9616.38,5343.24,1068.29,1068.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"2","27.7.e","UK (England)",-9,"L","A-All - reporte","OTB_DEF_>=120_0_0_all",20335,0,0,1868,0,35,0,0,0,0,0,0,0,0,0,56.4,504.22,701.04,1421.45,1604.85,1355.51,1079.34,936.36,440.45,50.47,28.2,50.47,0,61.08,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.59,661.53,2559.39,4972.15,7806.58,8577.08,7836.76,6267.92,3768.83,3979.39,2179.82,1983.49,1043.81,1128.12,351.18,593.5,269.08,264.59,244.31,272.51,250.53,156.29,250.24,152.84,28.2,0,91.76,91.76,91.76,183.52,28.2,0,91.76,0,0,0,91.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"3","27.7.e","UK (England)",-9,"D","A-All - reporte","TBB_DEF_70-99_0_0_all",54999,0,0,517,0,43,0,605.26,1210.52,3631.55,4236.81,6052.59,10289.4,8473.62,10894.65,16947.24,16947.24,13920.95,6657.84,4842.07,605.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815.78,4842.07,1815.78,2421.03,10289.4,18157.76,35710.26,38131.29,44183.88,32078.7,12105.17,4236.81,1210.52,605.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"2","27.7.e","UK (England)",-9,"L","A-All - reporte","LLS_FIF_0_0_0_all",36,0,0,40,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,13.85,27.71,31.17,6.93,13.85,10.39,3.46,3.46,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
