Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
Belgium	1	Quarter	2023	ple.27.7e	27.7.e	SSC_DEF_70-99_0_0_all	2124	kWd	20.00	Landings	R-Reported	Imported
UK (England)	1	Quarter	2023	ple.27.7e	27.7.e	FPO_CRU_0_0_0_all	217575	kWd	5.00	Landings	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	OTB_CRU_100-119_0_0_all	1530	kWd	4.00	Landings	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	FPO_CRU_0_0_0_all	377703	kWd	7.00	Landings	A-All - reported, nonre	Imported
France	1	Quarter	2023	ple.27.7e	27.7.e	MIS_MIS_0_0_0	2275074	kWd	295.66	Landings	R-Reported	Imported
France	3	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_100-119_0_0	1246356	kWd	3052.26	Discards	R-Reported	Imported
France	1	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_100-119_0_0_all	16356	kWd	0.00	Discards	R-Reported	Imported
UK (England)	2	Quarter	2023	ple.27.7e	27.7.e	TBB_DEF_70-99_0_0_all	723474	kWd	134404.00	Landings	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_70-99_0_0_all	70571	kWd	17000.00	Landings	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2023	ple.27.7e	27.7.e	TBB_CRU_16-31_0_0_all	4470	kWd	392.00	Landings	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_>=120_0_0_all	214299	kWd	66.00	BMS landing	A-All - reported, nonre	Imported
France	2	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_all_0_0_all	18726	kWd	146.03	Landings	R-Reported	Imported
France	1	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_all_0_0_all	17892	kWd	297.88	Landings	R-Reported	Imported
France	1	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_120-219_0_0_all	32363	kWd	1987.93	Landings	R-Reported	Imported
France	3	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_70-99_0_0	362543	kWd	772.19	Discards	R-Reported	Imported
UK (England)	4	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_>=120_0_0_all	304278	kWd	20457.00	Landings	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2023	ple.27.7e	27.7.e	OTB_CRU_100-119_0_0_all	20746	kWd	12.00	Landings	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	MIS_MIS_0_0_0_HC	1056995	kWd	5239.00	Landings	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2023	ple.27.7e	27.7.e	TBB_DEF_70-99_0_0_all	1058685	kWd	18.00	BMS landing	A-All - reported, nonre	Imported
