"Country","Season","Season.type","Year","Stock","Area","Fleets","Effort","UnitEffort","Catch..kg","Catch.Cat.","Report.cat.","Discards.Imported.Or.Raised"
"UK (England)","1","Quarter",2022,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",-9,NA,4853,"Landings","A-All - reported, nonre","Imported"
"France","2","Quarter",2022,"ple.27.7e","27.7.e","OTB_DEF_32-69_0_0",6417,"kWd",156.52,"Landings","R-Reported","Imported"
"France","1","Quarter",2022,"ple.27.7e","27.7.e","GTR_DEF_100-119_0_0_all",34474,"kWd",0,"Discards","R-Reported","Imported"
"France","1","Quarter",2022,"ple.27.7e","27.7.e","DRB_MOL_0_0_0_all",1044669,"kWd",577.97,"Landings","R-Reported","Imported"
"France","3","Quarter",2022,"ple.27.7e","27.7.e","OTB_DEF_<16_0_0_all",374,"kWd",22.72,"Landings","R-Reported","Imported"
"France","3","Quarter",2022,"ple.27.7e","27.7.e","OTB_DEF_70-99_0_0",399000,"kWd",6425.19,"Landings","R-Reported","Imported"
"France","4","Quarter",2022,"ple.27.7e","27.7.e","OTB_DEF_70-99_0_0",237820,"kWd",2734.94,"Landings","R-Reported","Imported"
"UK (England)","4","Quarter",2022,"ple.27.7e","27.7.e","OTB_DEF_>=120_0_0_all",-9,NA,19909,"Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter",2022,"ple.27.7e","27.7.e","OTB_DEF_70-99_0_0_all",-9,NA,1825,"Discards","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter",2022,"ple.27.7e","27.7.e","SSC_DEF_All_0_0_All",-9,NA,27,"Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter",2022,"ple.27.7e","27.7.e","TBB_DEF_70-99_0_0_all",-9,NA,10426,"Discards","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter",2022,"ple.27.7e","27.7.e","OTB_DEF_>=120_0_0_all",-9,NA,23142,"Landings","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter",2022,"ple.27.7e","27.7.e","OTB_DEF_>=120_0_0_all",-9,NA,3,"BMS landing","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter",2022,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",-9,NA,0,"BMS landing","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter",2022,"ple.27.7e","27.7.e","LLS_FIF_0_0_0_all",-9,NA,55,"Landings","A-All - reported, nonre","Imported"
"France","3","Quarter",2022,"ple.27.7e","27.7.e","OTM_DEF_70-99_0_0_all",29579,"kWd",7.6,"Landings","R-Reported","Imported"
"France","2","Quarter",2022,"ple.27.7e","27.7.e","OTT_DEF_70-99_0_0",13133,"kWd",387.73,"Landings","R-Reported","Imported"
"Netherlands","1","Quarter",2022,"ple.27.7e","27.7.e","SSC_DEF_100-119_0_0_all",11277,"kWd",20,"Landings","R-Reported","Imported"
"UK (England)","2","Quarter",2022,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",-9,NA,39,"Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter",2022,"ple.27.7e","27.7.e","OTB_CRU_16-31_0_0_all",-9,NA,0,"BMS landing","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter",2022,"ple.27.7e","27.7.e","OTB_CRU_100-119_0_0_all",-9,NA,0,"BMS landing","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter",2022,"ple.27.7e","27.7.e","OTB_CRU_16-31_0_0_all",-9,NA,0,"BMS landing","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter",2022,"ple.27.7e","27.7.e","TBB_DEF_>=120_0_0_all",-9,NA,14,"Landings","A-All - reported, nonre","Imported"
"UK(Scotland)","annual","Year",2022,"ple.27.7e","27.7.e","OTB_DEF_>=120_0_0_all",5488,"kWd",3,"Landings","R-Reported","Imported"
"UK (England)","3","Quarter",2022,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",-9,NA,9502,"Landings","A-All - reported, nonre","Imported"
"France","3","Quarter",2022,"ple.27.7e","27.7.e","TBB_DEF_70-99_0_0_all",57066,"kWd",78.88,"Landings","R-Reported","Imported"
"France","1","Quarter",2022,"ple.27.7e","27.7.e","GTR_DEF_>=220_0_0_all",135853,"kWd",408.16,"Landings","R-Reported","Imported"
"France","2","Quarter",2022,"ple.27.7e","27.7.e","OTB_DEF_100-119_0_0",758968,"kWd",7797.62,"Landings","R-Reported","Imported"
"France","2","Quarter",2022,"ple.27.7e","27.7.e","MIS_MIS_0_0_0",2917876,"kWd",614.99,"Landings","R-Reported","Imported"
"France","1","Quarter",2022,"ple.27.7e","27.7.e","OTB_DEF_70-99_0_0",207425,"kWd",8141.4,"Landings","R-Reported","Imported"
"France","4","Quarter",2022,"ple.27.7e","27.7.e","OTB_DEF_70-99_0_0",237820,"kWd",0,"Logbook Registered Discard","R-Reported","Imported"
"UK (England)","2","Quarter",2022,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",-9,NA,0,"Discards","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter",2022,"ple.27.7e","27.7.e","FPO_CRU_0_0_0_all",-9,NA,31,"Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter",2022,"ple.27.7e","27.7.e","SSC_DEF_All_0_0_All",-9,NA,5,"Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter",2022,"ple.27.7e","27.7.e","OTB_DEF_>=120_0_0_all",-9,NA,0,"BMS landing","A-All - reported, nonre","Imported"
