"Stock","Country","Year","CatchCategory","ReportingCategory","CATONRaisedOrImported","MisreportedArea","Area","Season","SeasonType","Fleet","CATON","Effort","UnitEffort","OfficialLandings","SampledOrEstimated","SampledCatch","No..of.Length.Samples","No..of.Length.Measured","No..of.Age.Samples","No..Age.Readings"
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution",0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","SSC_DEF_All_0_0_All",63.55,40219,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","SSC_DEF_All_0_0_All",782,40219,"kWd",1000,"Estimated_Distribution",0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Imported_Data",NA,"VIIe","1","Quarter","TBB_DEF_70-99_0_0_all",2053,251664,"kWd",0,"Estimated_Distribution",0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","TBB_DEF_70-99_0_0_all",58768,251664,"kWd",59000,"Estimated_Distribution",0,0,0,0,0
"ple-echw","France",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","GTR_DEF_>=220_0_0_all",28.94,90935,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","France",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","GTR_DEF_>=220_0_0_all",356.1,90935,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","France",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","GTR_DEF_120-219_0_0_all",77.29,27692,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","France",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","GTR_DEF_120-219_0_0_all",951.02,27692,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","France",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","MIS_MIS_0_0_0_HC",7219.43,3140487,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","France",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","MIS_MIS_0_0_0_HC",22647.93,3140487,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","France",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_DEF_100-119_0_0_all",111.94,753952,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","France",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_DEF_100-119_0_0_all",4710.49,753952,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","France",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_DEF_70-99_0_0_all",16373.48,733618,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","France",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_DEF_70-99_0_0_all",51082.27,733618,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","France",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_MOL_100-119_0_0_all",2.83,33129,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","France",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_MOL_100-119_0_0_all",119.25,33129,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","France",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_MOL_70-99_0_0_all",2826.88,183439,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","France",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_MOL_70-99_0_0_all",8819.34,183439,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK (Channel Island Guernsey)",2012,"Discards","All - reported, nonreported and misreported","Raised_Discards",NA,"VIIe","1","Quarter","C-Allgears",100.41,-9,"NA        ",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK (Channel Island Guernsey)",2012,"Landings","All - reported, nonreported and misreported","Imported_Data",NA,"VIIe","1","Quarter","C-Allgears",315,-9,"NA        ",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK (Channel Island Jersey)",2012,"Discards","All - reported, nonreported and misreported","Raised_Discards",NA,"VIIe","1","Quarter","C-Allgears",192.85,-9,"NA        ",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK (Channel Island Jersey)",2012,"Landings","All - reported, nonreported and misreported","Imported_Data",NA,"VIIe","1","Quarter","C-Allgears",605,-9,"NA        ",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK (England)",2012,"Discards","All - reported, nonreported and misreported","Raised_Discards",NA,"VIIe","1","Quarter","GTR_DEF_all_0_0_all",0.41,-9,"NA        ",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK (England)",2012,"Landings","All - reported, nonreported and misreported","Imported_Data",NA,"VIIe","1","Quarter","GTR_DEF_all_0_0_all",5.1,-9,"NA        ",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK (England)",2012,"Discards","All - reported, nonreported and misreported","Raised_Discards",NA,"VIIe","1","Quarter","LLS_FIF_0_0_0_all",2.84,-9,"NA        ",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK (England)",2012,"Landings","All - reported, nonreported and misreported","Imported_Data",NA,"VIIe","1","Quarter","LLS_FIF_0_0_0_all",35,-9,"NA        ",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK (England)",2012,"Discards","All - reported, nonreported and misreported","Raised_Discards",NA,"VIIe","1","Quarter","MIS_MIS_0_0_0_HC",727.24,-9,"NA        ",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK (England)",2012,"Discards","All - reported, nonreported and misreported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_DEF_>=120_0_0_all",9.94,-9,"NA        ",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK (England)",2012,"Landings","All - reported, nonreported and misreported","Imported_Data",NA,"VIIe","1","Quarter","OTB_DEF_>=120_0_0_all",418.3,-9,"NA        ",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK (England)",2012,"Discards","All - reported, nonreported and misreported","Imported_Data",NA,"VIIe","1","Quarter","TBB_DEF_70-99_0_0_all_FDF",0,-9,"NA        ",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK (England)",2012,"Landings","All - reported, nonreported and misreported","Imported_Data",NA,"VIIe","1","Quarter","TBB_DEF_70-99_0_0_all_FDF",15493.5,-9,"NA        ",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK(Scotland)",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","SSC_DEF_70-99_0_0_all",5.45,-9,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
"ple-echw","UK(Scotland)",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","SSC_DEF_70-99_0_0_all",17,-9,"kWd",0,"Estimated_Distribution",0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","2","Quarter","OTB_CRU_70-99_0_0_all",59.95,4480,"kWd",NA,"Estimated_Distribution",0,0,0,0,0
