"Stock","Country","Year","CatchCategory","ReportingCategory","CATONRaisedOrImported","MisreportedArea","Area","Season","SeasonType","Fleet","CATON","Effort","UnitEffort","OfficialLandings","SampledOrEstimated","Sex","AgeOrLength","AgeOrLengthType","CANUM","WECA","LECA","SampledCatch","No..of.Length.Samples","No..of.Length.Measured","No..of.Age.Samples","No..Age.Readings"
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Male",2,"Age",0.5,264.56,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Male",3,"Age",3.22,283.19,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Male",4,"Age",1.35,319.98,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Male",5,"Age",0.37,359.79,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Male",6,"Age",0.44,414.37,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Male",7,"Age",0.04,551.89,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Male",8,"Age",0.13,498.51,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Male",9,"Age",0,898.64,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Male",10,"Age",0,995.72,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Male",12,"Age",0,873.94,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Male",1,"Age",0,53.99,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Male",2,"Age",0,158.42,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Male",3,"Age",0,170.48,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Male",4,"Age",0,261.08,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Male",8,"Age",0,485.79,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Male",5,"Age",0,291.98,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Male",6,"Age",0,420.03,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Male",7,"Age",0,485.79,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",7,"Age",0,359.35,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",6,"Age",0,662.47,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",5,"Age",0,545.28,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",8,"Age",0,919.14,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",9,"Age",0,983.8,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",10,"Age",0,1214.89,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",11,"Age",0,1461.3,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",12,"Age",0,1381.19,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",13,"Age",0,1349.85,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",14,"Age",0,1595.63,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",15,"Age",0,1500.39,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",17,"Age",0,1427.82,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",19,"Age",0,1595.63,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",22,"Age",0,1595.63,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",4,"Age",0,280.87,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",3,"Age",0,230.43,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",2,"Age",0,133.25,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",0.31,887,"kWd",NA,"Estimated_Distribution","Female",1,"Age",0,57.41,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",12,"Age",0.03,1136.49,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",13,"Age",0.07,1281.82,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",14,"Age",0.01,1744.26,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",15,"Age",0.01,1193.94,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",17,"Age",0.01,1521.35,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",19,"Age",0.01,1902.26,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",20,"Age",0,2398.1,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",21,"Age",0,2176.88,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",22,"Age",0,1595.63,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",27,"Age",0.01,1272.2,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",10,"Age",0.07,1171.96,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",11,"Age",0.05,1516.2,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",9,"Age",0.14,984.07,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",8,"Age",0.36,830.93,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",7,"Age",0.67,675.09,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",6,"Age",1.43,566.5,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",5,"Age",1.68,507.36,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",4,"Age",5.73,372.5,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",3,"Age",6.22,315.36,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Landings","Reported","Imported_Data",NA,"VIIe","1","Quarter","OTB_CRU_70-99_0_0_all",9,887,"kWd",0,"Estimated_Distribution","Female",2,"Age",0.25,242.85,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","SSC_DEF_All_0_0_All",63.55,40219,"kWd",NA,"Estimated_Distribution","Female",7,"Age",3.69,359.35,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","SSC_DEF_All_0_0_All",63.55,40219,"kWd",NA,"Estimated_Distribution","Female",8,"Age",0.61,919.14,NA,0,0,0,0,0
"ple-echw","Belgium",2012,"Discards","Reported","Raised_Discards",NA,"VIIe","1","Quarter","SSC_DEF_All_0_0_All",63.55,40219,"kWd",NA,"Estimated_Distribution","Female",9,"Age",0.19,983.8,NA,0,0,0,0,0
