year,_TYPE_,_FREQ_,WAAge1,WAAge2,WAAge3,WAAge4,WAAge5,WAAge6,WAAge7,WAAge8,WAAge9,WAAge10,WAAge11,WAAge12,WAAge13,WAAge14,WAAge15,WAAge16,WAAge17,WAAge18,WAAge19,WAAge20,WAAge21,WAAge22,WAAge23,WAAge24,WAAge25,WAAge26,WAAge27,TBio_index
2003,1,2,0.005281328,0.121525417,0.153094026,0.109782869,0.027244626,0.030420164,0.039368146,0.023200268,0.021428158,0.00302714,0.001642831,0.001041102,0.000110945,5.26E-05,0,5.26E-05,0,5.26E-05,0.000412429,0,0,0,0,0,0,0,0,0.537737396
2004,1,2,0.001250089,0.062210986,0.326192686,0.090886489,0.146981688,0.019133715,0.014038396,0.04558685,0.009460548,0.004705181,0.001155309,0.000205256,0.000173317,0,0.000295051,0,0,0,0.000240839,0,0,0,0,0,0,0,0,0.722516398
2005,1,2,0.001834264,0.111584597,0.162368193,0.11579134,0.054922714,0.027075454,0.010259167,0.017859677,0.034554905,0.007686843,0.006065153,0,0,0,0.001218691,0.000962531,0.001353022,0,0.001294305,0.002771882,0,0,0,0,0,0,0,0.557602737
2006,1,2,0.004986995,0.18835206,0.153217512,0.097268733,0.060978776,0.028978287,0.015872993,0.004062249,0.006358017,0.015281921,0.002559487,0.003623002,0,0,0.000347422,0,0,0.001102939,0,0,0,0,0,0,0,0,0,0.582990393
2007,1,2,0,0.034677413,0.103862469,0.070882913,0.039117126,0.02017179,0.007948558,0.003676961,0.005215244,0.005702262,0.002246861,0.004195415,0.001280989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298978002
2008,1,2,0.000468427,0.127709453,0.072975316,0.053604407,0.017070065,0.011962229,0.010961903,0.003663879,0.001276162,0.00045283,0.000203407,0.00018698,0.000102985,1.90E-05,3.25E-05,1.90E-05,0,3.25E-05,3.25E-05,3.25E-05,0,0,0,0,0,0,0,0.300806033
2009,1,2,0.003909825,0.154089593,0.197184164,0.080551521,0.040774069,0.030526187,0.018386791,0.007170953,0.005353153,0.00255305,0,0.003877076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544795266
2010,1,2,0.007795399,0.222343894,0.239733421,0.201584231,0.032681993,0.028385365,0.011556535,0.006137064,0.002962591,0.00716298,0.002042332,0.003041061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765426865
2011,1,2,0.00028409,0.28314252,0.276114589,0.143248259,0.06706875,0.006330537,0.019875477,0.010927908,0.003011702,0.00276464,0.002200846,0.000196264,9.16E-05,0.004209903,0,0.001533649,0,5.24E-05,0,0,0,0,0,0,0,0,0,0.821053045
2012,1,2,0.008774084,0.081331597,0.400655052,0.235692838,0.07644803,0.080259232,0.013262699,0.009394429,0.011571324,0.002465811,0.005859429,0.004732132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930446656
2013,1,2,0,0.048361517,0.389550458,0.466537624,0.206912371,0.108655459,0.054254917,0.020215075,0.010110847,0.003552844,0,0.001455044,0.001455044,0,0,0,0,0.003290293,0,0,0,0,0,0,0,0,0,1.327466834
2014,1,2,0.0041401,0.296033996,0.449802387,0.695628805,0.327392962,0.241438044,0.079135561,0.022087912,0.028362925,0,0.004970024,0.001837137,0,0,0.000926584,0,0,0,0,0,0,0,0,0,0,0,0,2.21830477
2015,1,2,0.000166693,0.17913791,0.377595028,0.34958183,0.425393616,0.252999471,0.07697271,0.012716324,0.037526888,0.001557055,0.013198772,9.82E-05,3.27E-05,3.27E-05,0,3.27E-05,0,3.27E-05,0,0,0,0,0,0,0,0,0,1.766755979
2016,1,2,0.000257249,0.085155121,0.419458407,0.33029376,0.187015182,0.180552834,0.125276737,0.013959313,0.045946967,0,0.00886356,0,0.001943963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41501076
2017,1,2,0.000716617,0.055015197,0.162481051,0.521496869,0.151071325,0.204096925,0.15200138,0.03381067,0.09188589,0.012446502,0.019714288,0.010609453,0.005307667,0,0.003212512,0,0,0,0,0,0,0,0,0,0,0,0,1.476258809
2018,1,2,0,0.059070082,0.200141897,0.303581442,0.273547618,0.105983836,0.067594955,0.068533556,0.022306102,0.023142302,0.003509849,0.003526564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185244394
2019,1,2,2.74E-05,0.038845345,0.131233548,0.158733275,0.197586207,0.150975986,0.069133305,0.045915506,0.021835755,0.017404333,0.010495682,0,0.001633223,0.000688378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892822133
2020,1,2,0,0.140079648,0.168416705,0.097903081,0.062762817,0.049534859,0.047201656,0.017829374,0.019932615,0.008423159,0.009645627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637633973
2021,1,2,0.000113987,0.165309831,0.367794171,0.283692912,0.075663952,0.032207573,0.033996438,0.02900624,0.006577623,0.008533158,0.005266963,0.005390231,0.003227407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.057539092
2022,1,2,0,0.049113193,0.200195249,0.264192442,0.119956402,0.041903841,0.019473422,0.015875933,0.021482972,0.006738085,0.005549479,0.003485187,0.004123897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80295701
2023,1,2,0,0.082132974,0.108926538,0.202852565,0.168007197,0.065487701,0.014968128,0.010485165,0.004077069,0.005903783,0.002326949,0.006221386,6.03E-05,0.000030159,0,0.000030159,0,0,0,0,0,0,0,0,0,0,0,0.698882495
