year,_TYPE_,_FREQ_,AAge1,AAge2,AAge3,AAge4,AAge5,AAge6,AAge7,AAge8,AAge9,AAge10,AAge11,AAge12,AAge13,AAge14,AAge15,AAge16,AAge17,AAge18,AAge19,AAge20,AAge21,AAge22,AAge23,AAge24,AAge25,AAge26,AAge27
2003,1,2,0.02083164,0.343520707,0.344141357,0.215757897,0.041065148,0.041976317,0.050884129,0.033663837,0.02200358,0.002122894,0.000913415,0.000521178,0.0000734,0.0000329,0,0.0000329,0,0.0000329,0.000191009,0,0,0,0,0,0,0,0
2004,1,2,0.006485911,0.205190408,0.83566949,0.177493531,0.286950894,0.029685775,0.018138028,0.046243315,0.011522602,0.002739477,0.000858431,0.000193889,0.000158096,0,0.0001884,0,0,0,0.000122811,0,0,0,0,0,0,0,0
2005,1,2,0.008493072,0.327109917,0.42559518,0.240440993,0.090037166,0.039528771,0.01273615,0.017459214,0.037179054,0.007017861,0.004346454,0,0,0,0.000686519,0.000601127,0.000570889,0,0.000599434,0.001413467,0,0,0,0,0,0,0
2006,1,2,0.026470661,0.62261609,0.42168975,0.185912634,0.099837907,0.044237794,0.021383716,0.004570363,0.006364795,0.014097576,0.001500732,0.004323036,0,0,0.000585494,0,0,0.000688816,0,0,0,0,0,0,0,0,0
2007,1,2,0,0.117014537,0.274235081,0.156751361,0.065359983,0.026616889,0.008325896,0.005892358,0.005458582,0.005636939,0.001931652,0.002303838,0.002291529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,2,0.001078981,0.391384219,0.165044323,0.096648175,0.02464738,0.014014025,0.011206772,0.002870043,0.001694683,0.000317024,0.000149312,0.000110543,0.0000626,0.0000147,0.0000166,0.0000147,0,0.0000166,0.0000166,0.0000166,0,0,0,0,0,0,0
2009,1,2,0.019152989,0.435328854,0.442221963,0.15283948,0.059812867,0.03310304,0.022694176,0.007964857,0.003343193,0.001301877,0,0.002603754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,2,0.064738857,0.740213317,0.581103062,0.38645439,0.047918938,0.041502951,0.011995225,0.006170187,0.002300992,0.004747099,0.001150496,0.006622702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,2,0.002741531,1.037890651,0.803199164,0.314489724,0.110486966,0.010314304,0.018125076,0.013256899,0.002147736,0.002008093,0.001613695,0.000125336,0.0000599,0.002981494,0,0.001183193,0,0.0000327,0,0,0,0,0,0,0,0,0
2012,1,2,0.049432639,0.320962552,1.2440002,0.582067174,0.136445645,0.134791896,0.012137109,0.014425404,0.011527092,0.002591356,0.005198999,0.004947133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,2,0,0.221907565,1.405053931,1.267104352,0.440308412,0.203255298,0.075506109,0.027564902,0.007736879,0.003788664,0,0.001268496,0.001268496,0,0,0,0,0.001268496,0,0,0,0,0,0,0,0,0
2014,1,2,0.03548275,1.319797284,1.645727554,2.071524335,0.801009859,0.572048205,0.156707538,0.026808636,0.035469996,0,0.003533667,0.00265025,0,0,0.001177889,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,2,0.001678415,0.804366221,1.191530655,0.905348138,0.994037124,0.511023123,0.121090183,0.012890762,0.056692084,0.002380985,0.009315435,0.0000613,0.0000204,0.0000204,0,0.0000204,0,0.0000204,0,0,0,0,0,0,0,0,0
2016,1,2,0.00335683,0.372961194,1.443660036,0.815744597,0.389652222,0.342697797,0.235135647,0.018605017,0.056730528,0,0.009893739,0,0.00287624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,2,0.008392074,0.237906613,0.574304238,1.478885766,0.341652082,0.442144467,0.284549597,0.056349989,0.148552932,0.013814645,0.026408158,0.010643305,0.005424866,0,0.00335683,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,2,0,0.243512054,0.715163988,0.893998393,0.617679078,0.185032743,0.106343199,0.084874826,0.030263386,0.026322923,0.003035085,0.001798302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,2,0.00027576,0.17222456,0.445834733,0.465080879,0.460503458,0.290459013,0.115336782,0.063065851,0.031568479,0.01902716,0.012464441,0,0.001268496,0.00158562,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,0,0.714240777,0.644730063,0.280214323,0.130478212,0.083351684,0.064673079,0.01468613,0.018320125,0.008840457,0.007305527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,2,0.00211269,0.974026488,1.622295912,1.08136566,0.183162845,0.063035896,0.051075507,0.03490137,0.00580158,0.008438062,0.007361136,0.003173416,0.003173416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,2,0,0.279446579,0.964334216,0.983707015,0.354365131,0.076275917,0.030674191,0.021785563,0.016988626,0.009487,0.005257581,0.002670517,0.002106364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,2,0,0.478867089,0.527636457,0.724421737,0.482604513,0.141866664,0.026170861,0.013494785,0.00501272,0.005494488,0.003209078,0.004266309,0.0000468,0.0000234,0,0.0000234,0,0,0,0,0,0,0,0,0,0,0
