Year,_TYPE_,_FREQ_,Area,AAge1,AAge2,AAge3,AAge4,AAge5,AAge6,AAge7,AAge8,AAge9,AAge10,AAge11,AAge12,AAge13,AAge14,AAge15,AAge16,AAge17,AAge18,AAge19,AAge20,AAge21,AAge22,AAge23,AAge24,AAge25,AAge26,AAge27,WWAge_1,WWAge_2,WWAge_3,WWAge_4,WWAge_5,WWAge_6,WWAge_7,WWAge_8,WWAge_9,WWAge_10,WWAge_11,WWAge_12,WWAge_13,WWAge_14,WWAge_15,WWAge_16,WWAge_17,WWAge_18,WWAge_19,WWAge_20,WWAge_21,WWAge_22,WWAge_23,WWAge_24,WWAge_25,WWAge_26,WWAge_27,count
2006,1,13,61376,1.43546,27.2685,20.338,12.017,5.2557,2.2812,0.1513,0.11942,0.23884,0.56317,0,0.34656,0.1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12035,9.2164,7.7537,7.9217,3.3419,1.7754,0.1014,0.11082,0.20851,0.4145,0,0.46799,0.50547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2007,1,13,61376,0.61114,10.2989,18.83,12.842,2.8274,3.2172,1.4288,2.69707,0.16687,1.39158,0.16687,0.83811,0.63929,0.16687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02135,3.0196,8.3939,7.7399,1.6069,2.9256,1.2243,2.45044,0.20975,2.51116,0.26331,1.30998,0.99608,0.09445,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2008,1,13,61376,0.88478,20.2884,9.009,4.394,3.1109,0.9659,1.5113,0.67578,0.43978,0,0.87797,0.12102,0.18772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09066,7.8498,4.1288,1.8044,1.68,0.6308,2.1707,0.45787,0.14293,0,0.84162,0.0881,0.20086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2009,1,13,61376,0.7943,38.2773,31.332,8.543,5.917,2.1977,2.2199,0.29821,0.17878,0.29821,0.29821,0,0.49542,0,0.61889,0,0,0,0,0,0,0,0.7539,0,0,0,0,0.06007,14.703,19.1933,5.9551,4.0478,0.9913,3.524,0.31974,0.09029,0.46086,0.49588,0,0.30245,0,1.2582,0,0,0,0,0,0,0,1.6616,0,0,0,0,28
2010,1,13,61376,0.92626,35.0943,29.932,16.803,2.7883,1.7498,1.4653,0.76424,0.37545,0,0,0.18772,0,0.91703,0,0,0,0,0.11942,0,0,0,0,0,0,0,0,0.0688,15.4548,20.1264,10.8517,1.7483,1.5576,1.1519,0.77088,0.45598,0,0,0.36644,0,1.07659,0,0,0,0,0.1568,0,0,0,0,0,0,0,0,28
2011,1,13,61376,1.80958,46.7994,61.533,21.93,5.0857,5.0716,2.4951,0.46795,0.31664,0.11377,0.35757,0,0.11919,0.11919,0.11919,0.51986,0,0,0,0,0,0,0,0,0,0,0,0.09345,19.6284,31.6835,11.2165,2.8871,3.8983,1.959,0.40039,0.17478,0.13766,0.59833,0,0.1938,0.24672,0.16722,0.7694,0,0,0,0,0,0,0,0,0,0,0,28
2012,1,13,61376,0,8.9195,43.986,21.985,7.3573,3.898,3.4557,0.41169,0.62539,0,0,0.18772,0,0,0.14385,0,0,0,0,0,0,0,0,0,0,0.11942,0,0,1.9939,30.784,12.7499,5.2572,2.9496,3.8255,0.31074,0.58699,0,0,0.22452,0,0,0.22124,0,0,0,0,0,0,0,0,0,0,0.23765,0,28
2013,1,13,61376,0.30036,14.4447,70.222,47.038,9.5129,3.4241,2.4899,1.49112,0.76159,0,0,0,0.12571,0,0,0,0.11374,0,0,0,0,0,0,0,0,0,0,0.01066,2.6609,27.216,28.2107,5.253,1.8391,2.1848,1.69589,0.60333,0,0,0,0.21282,0,0,0,0.17697,0,0,0,0,0,0,0,0,0,0,28
2014,1,13,61376,0.91256,59.9883,126.353,155.252,54.2658,9.1101,1.2602,2.13621,0.93872,0.48829,0.28101,0.15884,0.1706,0,0,0,0.15884,0,0,0,0,0,0,0,0,0,0,0.03901,11.7525,41.5609,68.5151,28.6957,6.6238,0.8834,2.00325,0.94888,0.32748,0.17367,0.4179,0.19654,0,0,0,0.3261,0,0,0,0,0,0,0,0,0,0,28
2015,1,13,61376,0,27.9925,37.992,23.687,31.7222,21.0818,4.3911,2.77409,0.94758,0.59519,0,0.99022,0,0.18772,0,0.1976,0,0,0,0,0,0,0,0,0,0,0,0,5.4919,11.9003,9.4354,13.4005,18.4278,2.85,2.21869,1.09044,0.23391,0,0.96299,0,0.27746,0,0.24799,0,0,0,0,0,0,0,0,0,0,0,28
2016,1,13,61376,0.22085,13.5105,111.182,40.711,20.3641,29.3592,18.746,5.94891,6.07238,0.70284,3.49464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00663,1.6765,34.0805,15.0162,9.8247,19.0269,11.2737,4.33753,3.99252,1.08588,3.24396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2017,1,13,61376,0,13.4532,62.155,136.027,27.7294,23.144,13.3396,2.65757,5.00905,0.37686,2.11134,0,0.30715,0,0.18772,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4658,19.0353,71.9125,13.3156,17.4481,14.3461,2.60427,4.50389,0.13017,2.75627,0,0.30162,0,0.46274,0,0,0,0,0,0,0,0,0,0,0,0,28
2018,1,13,61376,0,9.1815,35.068,25.308,41.1936,16.2552,8.7963,7.3514,4.9955,1.1739,0.94606,0.11942,0,0.11942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0821,8.2927,7.4714,20.0618,10.5001,5.9581,8.37374,3.98406,0.96612,1.16021,0.0283,0,0.16074,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2019,1,13,61376,0.18772,11.7845,23.997,41.835,28.0116,29.9151,10.5676,6.31033,2.9624,1.61848,1.29572,0,0,0.17878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00601,1.3522,4.1161,9.715,9.078,15.5802,6.1833,5.28081,2.68211,2.68581,2.13058,0,0,0.2292,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2020,1,13,61376,0,39.4876,51.941,26.132,13.9655,8.2149,4.8533,4.06797,2.75253,1.70314,1.87588,0.25359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7914,14.5251,12.4326,8.7137,6.4323,4.7747,4.2097,3.09837,1.9466,2.71674,0.27591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
