Year,_TYPE_,_FREQ_,Area,AAge1,AAge2,AAge3,AAge4,AAge5,AAge6,AAge7,AAge8,AAge9,AAge10,AAge11,AAge12,AAge13,AAge14,AAge15,AAge16,AAge17,AAge18,AAge19,AAge20,AAge21,AAge22,AAge23,AAge24,AAge25,AAge26,AAge27,WWAge_1,WWAge_2,WWAge_3,WWAge_4,WWAge_5,WWAge_6,WWAge_7,WWAge_8,WWAge_9,WWAge_10,WWAge_11,WWAge_12,WWAge_13,WWAge_14,WWAge_15,WWAge_16,WWAge_17,WWAge_18,WWAge_19,WWAge_20,WWAge_21,WWAge_22,WWAge_23,WWAge_24,WWAge_25,WWAge_26,WWAge_27,count
2006,1,11,48068,1.83287,34.2832,24.873,15.345,6.7108,2.9127,0.1932,0.15249,0.30497,0.71909,0,0.44251,0.25231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15367,11.6247,9.5724,10.1149,4.2672,2.2669,0.1294,0.1415,0.26624,0.52925,0,0.59756,0.64542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2007,1,11,48068,0.78033,13.1502,23.442,16.397,3.6102,4.1079,1.8244,3.44378,0.21306,1.77685,0.21306,1.07015,0.81628,0.21306,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02726,3.8556,10.4699,9.8828,2.0518,3.7356,1.5633,3.1289,0.26782,3.20639,0.33622,1.67266,1.27186,0.12059,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2008,1,11,48068,1.12974,25.3439,10.941,5.611,3.4107,1.2333,1.9298,0.30134,0,0,1.12104,0.15452,0.2397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11576,9.9417,4.9619,2.3039,1.6077,0.8054,2.7716,0.1899,0,0,1.07463,0.11249,0.25648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2009,1,11,48068,1.01421,48.8747,40.006,10.908,7.5552,2.8062,2.8345,0.38077,0.22828,0.38077,0.38077,0,0.63259,0,0.79023,0,0,0,0,0,0,0,0,0,0,0,0,0.0767,18.7736,24.5071,7.6038,5.1685,1.2657,4.4996,0.4083,0.11528,0.58845,0.63317,0,0.38619,0,1.60654,0,0,0,0,0,0,0,0,0,0,0,0,28
2010,1,11,48068,1.18271,38.278,35.151,19.395,2.9286,2.2342,1.8709,0.97583,0.47939,0,0,0.2397,0,1.17091,0,0,0,0,0.15249,0,0,0,0,0,0,0,0,0.08784,18.5247,24.4919,13.0246,1.8381,1.9889,1.4708,0.9843,0.58222,0,0,0.46789,0,1.37465,0,0,0,0,0.20021,0,0,0,0,0,0,0,0,28
2011,1,11,48068,2.31058,59.1947,77.499,28.002,6.4937,6.4757,3.1858,0.59751,0.4043,0.14527,0.45657,0,0.15219,0.15219,0.15219,0.66379,0,0,0,0,0,0,0,0,0,0,0,0.11932,24.9229,40.2125,14.3218,3.6864,4.9776,2.5014,0.5112,0.22317,0.17578,0.76399,0,0.24746,0.31503,0.21352,0.98241,0,0,0,0,0,0,0,0,0,0,0,28
2012,1,11,48068,0,11.3889,55.04,28.072,8.8327,4.9772,4.4124,0.52567,0.79854,0,0,0.2397,0,0,0.18368,0,0,0,0,0,0,0,0,0,0,0.15249,0,0,2.546,38.8823,16.2798,6.3117,3.7662,4.8846,0.3968,0.7495,0,0,0.28668,0,0,0.28249,0,0,0,0,0,0,0,0,0,0,0.30345,0,28
2013,1,11,48068,0.38352,17.1804,88.4,58.166,11.5149,4.3721,3.1793,1.27222,0.97244,0,0,0,0.16051,0,0,0,0.14522,0,0,0,0,0,0,0,0,0,0,0.01361,3.2978,34.5539,35.2225,6.3087,2.3483,2.7896,1.2109,0.77036,0,0,0,0.27175,0,0,0,0.22597,0,0,0,0,0,0,0,0,0,0,28
2014,1,11,48068,1.16522,76.5965,161.335,196.238,68.2789,10.6457,1.6091,2.72764,1.19862,0.62348,0.35881,0.20281,0.21784,0,0,0,0.20281,0,0,0,0,0,0,0,0,0,0,0.04981,15.0062,53.0674,86.3689,36.1248,7.9436,1.128,2.5579,1.21158,0.41814,0.22175,0.5336,0.25095,0,0,0,0.41638,0,0,0,0,0,0,0,0,0,0,28
2015,1,11,48068,0,34.2605,46.269,30.245,39.6588,24.7713,5.6069,3.54212,1.20992,0,0,1.26437,0,0.2397,0,0.25231,0,0,0,0,0,0,0,0,0,0,0,0,6.7807,14.721,12.0476,16.8652,18.5675,3.639,2.833,1.39233,0,0,1.2296,0,0.35427,0,0.31665,0,0,0,0,0,0,0,0,0,0,0,28
