Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
France	3	Quarter	2022	ple.27.7e	27.7.e	GTR_DEF_120-219_0_0_all	34236	kWd	554.70	Landings	R-Reported	Imported
France	1	Quarter	2022	ple.27.7e	27.7.e	MIS_MIS_0_0_0	2524881	kWd	495.65	Landings	R-Reported	Imported
France	2	Quarter	2022	ple.27.7e	27.7.e	GTR_DEF_120-219_0_0_all	35981	kWd	2225.23	Landings	R-Reported	Imported
France	1	Quarter	2022	ple.27.7e	27.7.e	GTR_DEF_all_0_0_all	19308	kWd	103.11	Landings	R-Reported	Imported
France	4	Quarter	2022	ple.27.7e	27.7.e	DRB_MOL_0_0_0_all	1419296	kWd	420.35	Landings	R-Reported	Imported
France	2	Quarter	2022	ple.27.7e	27.7.e	OTB_DEF_70-99_0_0	371304	kWd	5859.69	Discards	R-Reported	Imported
UK (England)	2	Quarter	2022	ple.27.7e	27.7.e	OTB_DEF_70-99_0_0_all	-9	NA	16138.00	Landings	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2022	ple.27.7e	27.7.e	TBB_DEF_70-99_0_0_all	-9	NA	22344.00	Discards	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2022	ple.27.7e	27.7.e	GNS_DEF_all_0_0_all	-9	NA	2101.00	Landings	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2022	ple.27.7e	27.7.e	GTR_DEF_all_0_0_all	-9	NA	254.00	Landings	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2022	ple.27.7e	27.7.e	TBB_DEF_>=120_0_0_all	-9	NA	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2022	ple.27.7e	27.7.e	OTB_DEF_>=120_0_0_all	-9	NA	697.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2022	ple.27.7e	27.7.e	GTR_DEF_all_0_0_all	-9	NA	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2022	ple.27.7e	27.7.e	FPO_CRU_0_0_0_all	-9	NA	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2022	ple.27.7e	27.7.e	OTB_CRU_100-119_0_0_all	-9	NA	0.00	BMS landing	A-All - reported, nonre	Imported
France	4	Quarter	2022	ple.27.7e	27.7.e	TBB_DEF_70-99_0_0_all	1437	kWd	40.00	Landings	R-Reported	Imported
France	1	Quarter	2022	ple.27.7e	27.7.e	OTT_DEF_100-119_0_0	4074	kWd	12.14	Landings	R-Reported	Imported
France	1	Quarter	2022	ple.27.7e	27.7.e	OTB_DEF_16-31_0_0	1109	kWd	14.10	Landings	R-Reported	Imported
UK (Channel Island Jersey)	2	Quarter	2022	ple.27.7e	27.7.e	MIS_MIS_0_0_0_HC	-9	NA	68.00	Landings	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2022	ple.27.7e	27.7.e	OTB_CRU_32-69_0_0_all	-9	NA	2.00	Landings	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2022	ple.27.7e	27.7.e	FPO_CRU_0_0_0_all	-9	NA	26.00	Landings	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2022	ple.27.7e	27.7.e	MIS_MIS_0_0_0_HC	-9	NA	60.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2022	ple.27.7e	27.7.e	FPO_CRU_0_0_0_all	-9	NA	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2022	ple.27.7e	27.7.e	LLS_FIF_0_0_0_all	-9	NA	2.00	Landings	A-All - reported, nonre	Imported
France	2	Quarter	2022	ple.27.7e	27.7.e	GTR_DEF_>=220_0_0_all	168921	kWd	0.00	Discards	R-Reported	Imported
France	1	Quarter	2022	ple.27.7e	27.7.e	GTR_DEF_100-119_0_0_all	34474	kWd	607.62	Landings	R-Reported	Imported
France	1	Quarter	2022	ple.27.7e	27.7.e	GTR_DEF_120-219_0_0_all	26365	kWd	0.00	Discards	R-Reported	Imported
France	4	Quarter	2022	ple.27.7e	27.7.e	GTR_DEF_all_0_0_all	8204	kWd	112.29	Landings	R-Reported	Imported
France	4	Quarter	2022	ple.27.7e	27.7.e	GTR_DEF_>=220_0_0_all	85378	kWd	40.01	Landings	R-Reported	Imported
France	3	Quarter	2022	ple.27.7e	27.7.e	GTR_DEF_>=220_0_0_all	207977	kWd	0.00	Discards	R-Reported	Imported
UK (England)	2	Quarter	2022	ple.27.7e	27.7.e	OTB_DEF_70-99_0_0_all	-9	NA	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2022	ple.27.7e	27.7.e	OTB_DEF_>=120_0_0_all	-9	NA	17617.00	Discards	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2022	ple.27.7e	27.7.e	GNS_DEF_all_0_0_all	-9	NA	3937.00	Landings	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2022	ple.27.7e	27.7.e	TBB_DEF_70-99_0_0_all	-9	NA	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2022	ple.27.7e	27.7.e	TBB_DEF_70-99_0_0_all	-9	NA	200975.00	Landings	A-All - reported, nonre	Imported
