year,data,quarter,sex,length,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2013,landings,1,female,27,,1,2,2,,,,,,,,,,,,,,,,,,,,,,
2013,landings,1,female,29,,1,11,12,,1,,,,,,,,,,,,,,,,,,,,
2013,landings,1,female,31,,1,12,19,5,1,,,,,,,,,,,,,,,,,,,,
2013,landings,1,female,33,,,11,23,6,1,1,,,,,,,,,,,,,,,,,,,
2013,landings,1,female,35,,,7,27,14,2,1,,,,,,,,,,,,,,,,,,,
2013,landings,1,female,37,,,,27,14,5,,,,,,,,,,,,,,,,,,,,
2013,landings,1,female,39,,,,13,14,6,5,1,,,,,,,,,,,,,,,,,,
2013,landings,1,female,41,,,,4,17,13,4,2,,,,,,,,,,,,,,,,,,
2013,landings,1,female,43,,,,,3,5,13,6,1,1,1,,,,,,,,,,,,,,,
2013,landings,1,female,45,,,,,5,4,7,4,7,,,,,,,,,,,,,,,,,
2013,landings,1,female,47,,,,,,2,6,4,5,,1,,,,,,,,,,,,,,,
2013,landings,1,female,49,,,,,,,8,3,7,1,,1,1,,,,,,,,,,,,,
2013,landings,1,female,51,,,,,,,1,,8,2,2,,1,,1,,,,,,,,,,,
2013,landings,1,female,53,,,,,,1,,,4,,1,,,1,,,,,,,,,,,,
2013,landings,1,female,55,,,,,,,,,2,1,,1,1,1,,,,,,,,,,,,
2013,landings,1,male,27,,4,4,1,1,,,,,,,,,,,,,,,,,,,,,
2013,landings,1,male,29,,1,18,8,3,,1,,,,,,,,,,,,,,,,,,,
2013,landings,1,male,31,,1,13,15,4,1,2,,,,1,,,,,,,,,,,,,,,
2013,landings,1,male,33,,,12,16,3,3,,,,,,,,,,,,,,,,,,,,
2013,landings,1,male,35,,,3,8,7,2,4,1,,,,,,,,,,,,,,,,,,
2013,landings,1,male,37,,,,1,1,5,5,2,1,,,,,,,,,,,,,,,,,
2013,landings,1,male,39,,,,1,,2,1,,,,,,,,,,,,,,,,,,,
2013,landings,1,male,41,,,,,,1,2,3,,,,,,,,,,,,,,,,,,
2013,landings,1,male,43,,,,,,,,1,,,,,,,,,,,,,,,,,,
2013,landings,2,female,25,,1,2,,,,,,,,,,,,,,,,,,,,,,,
2013,landings,2,female,27,,,10,3,,,,,,,,,,,,,,,,,,,,,,
2013,landings,2,female,29,,,26,6,1,1,,,,,,,,,,,,,,,,,,,,
2013,landings,2,female,31,,1,25,8,9,2,,,,,,,,,,,,,,,,,,,,
2013,landings,2,female,33,,1,9,23,6,6,1,,,,,,,,,,,,,,,,,,,
2013,landings,2,female,35,,,10,18,9,10,1,1,,,,,,,,,,,,,,,,,,
2013,landings,2,female,37,,,5,12,12,6,1,,1,,,,,,,,,,,,,,,,,
2013,landings,2,female,39,,,,9,8,8,1,2,1,,1,,,,,,,,,,,,,,,
2013,landings,2,female,41,,,,1,7,7,3,1,,,,,,,,,,,,,,,,,,
2013,landings,2,female,43,,,,,4,4,5,1,,,,,,,,,,,,,,,,,,
2013,landings,2,female,45,,,,1,2,,8,1,6,,,,,,,,,,,,,,,,,
2013,landings,2,female,47,,,,,,1,7,3,1,,2,,,,,,,,,,,,,,,
2013,landings,2,female,49,,,,,,4,11,1,2,1,,,,,,,,,,,,,,,,
2013,landings,2,female,51,,,,,2,,4,1,2,,1,,,,1,,,,,,,,,,,
2013,landings,2,female,53,,,,,,,2,2,3,,1,1,,,,,,,,,,,,,,
2013,landings,2,female,55,,,,,,,1,,3,1,2,,,,,,,,,,,,,,,
2013,landings,2,female,57,,,,,,,1,,1,,1,1,,,,,,,,,,,,,,
2013,landings,2,female,59,,,,,,,,,1,,,1,,1,,,,,,,,,,,,
2013,landings,2,female,61,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
2013,landings,2,male,25,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2013,landings,2,male,27,,,5,2,,,,,,,,,,,,,,,,,,,,,,
2013,landings,2,male,29,,3,11,4,1,1,,1,,,,,,,,,,,,,,,,,,
2013,landings,2,male,31,,,14,8,4,,,,2,1,,,,,,,,,,,,,,,,
2013,landings,2,male,33,,,4,10,5,2,,,1,,,,,,,,,,,,,,,,,
2013,landings,2,male,35,,,,2,2,1,2,2,1,,,,,,,,,,,,,,,,,
2013,landings,2,male,37,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,
2013,landings,2,male,39,,,,,,,1,,1,,3,,,,,,,,,,,,,,,
2013,landings,2,male,41,,,,,,,1,1,,1,,,,,,,,,,,,,,,,
2013,landings,2,male,43,,,,,,,,,1,,,,,,,,,,,,,,,,,
2013,landings,3,female,25,,,2,,,,,,,,,,,,,,,,,,,,,,,
2013,landings,3,female,27,1,8,12,3,,,,,,,,,,,,,,,,,,,,,,
2013,landings,3,female,29,,2,37,6,3,1,,,,,,,,,,,,,,,,,,,,
2013,landings,3,female,31,,4,22,19,7,2,,1,,,,,,,,,,,,,,,,,,
2013,landings,3,female,33,,3,21,28,5,,1,,,,,,,,,,,,,,,,,,,
2013,landings,3,female,35,,,8,24,15,3,4,,,,,,,,,,,,,,,,,,,
2013,landings,3,female,37,,2,9,19,17,7,1,,,,,,,,,,,,,,,,,,,
2013,landings,3,female,39,,,3,14,11,1,1,2,,1,,,,,,,,,,,,,,,,
2013,landings,3,female,41,,,,9,7,6,2,1,,,,,,,,,,,,,,,,,,
2013,landings,3,female,43,,,,3,3,9,3,,,1,,,,,,,,,,,,,,,,
2013,landings,3,female,45,,,,,,3,2,1,3,1,1,,,1,,,,,,,,,,,,
2013,landings,3,female,47,,,,,1,,1,1,2,,,,,,,,,,,,,,,,,
2013,landings,3,female,49,,,,,,,2,,1,,1,,,,,,,,,,,,,,,
2013,landings,3,female,51,,,,,,,,3,,,,,,,,,,,,,,,,,,
2013,landings,3,female,53,,,,,,,1,1,,,,1,,,,,,,,,,,,,,
2013,landings,3,female,55,,,,,,,,1,1,,,2,,,,,,,,,,,,,,
2013,landings,3,female,57,,,,,,,1,,,,,,,,1,,,,,,,,,,,
2013,landings,3,female,59,,,,,,,,,,,,,,1,,,,,,,,,,,,
2013,landings,3,female,61,,,,,,,,,,,,,,,2,,,,,,,,,,,
2013,landings,3,female,63,,,,,,,,,,,,,,,1,,,,,,,,,,,
2013,landings,3,male,25,,2,4,1,,,,,,,,,,,,,,,,,,,,,,
2013,landings,3,male,27,,2,3,7,2,,1,,,,,,,,,,,,,,,,,,,
2013,landings,3,male,29,,3,11,13,6,,,,,,,,,,,,,,,,,,,,,
2013,landings,3,male,31,,,12,21,4,1,2,,1,,,,,,,,,,,,,,,,,
2013,landings,3,male,33,,,9,6,5,3,1,,,,,,,,,,,,,,,,,,,
2013,landings,3,male,35,,,2,7,5,1,2,,,,,,,,,,,,,,,,,,,
2013,landings,3,male,37,,,,,,,2,1,,,,,,,,,,,,,,,,,,
2013,landings,4,female,27,1,2,4,,,,,,,,,,,,,,,,,,,,,,,
2013,landings,4,female,29,1,4,21,3,,1,,,,,,,,,,,,,,,,,,,,
2013,landings,4,female,31,,6,32,10,,,,,,,,,,,,,,,,,,,,,,
2013,landings,4,female,33,,5,26,21,1,1,,,,,,,,,,,,,,,,,,,,
2013,landings,4,female,35,,,15,23,14,1,,,,,,,,,,,,,,,,,,,,
2013,landings,4,female,37,,,7,29,11,1,,,,,,,,,,,,,,,,,,,,
2013,landings,4,female,39,,,5,20,13,8,,1,,,,,,,,,,,,,,,,,,
2013,landings,4,female,41,,,2,12,9,8,6,,1,,,,,,,,,,,,,,,,,
2013,landings,4,female,43,,,1,8,7,9,2,2,1,,,,,,,,,,,,,,,,,
2013,landings,4,female,45,,,,5,,2,4,,2,,,,,,,,,,,,,,,,,
2013,landings,4,female,47,,,,,2,5,4,1,1,,,1,,,,,,,,,,,,,,
2013,landings,4,female,49,,,,,1,,1,,2,1,,,,,,,,,,,,,,,,
2013,landings,4,female,51,,,,,1,,1,2,1,,1,,,,1,,,,,,,,,,,
2013,landings,4,female,53,,,,,,,,,,,1,,,,1,,,,,,,,,,,
2013,landings,4,female,55,,,,,,,,,,,1,,,,1,,,,,,,,,,,
2013,landings,4,female,57,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,landings,4,female,59,,,,,,,,,,,2,,,,,,,,,,,,,,,
