year,_TYPE_,_FREQ_,AAge1,AAge2,AAge3,AAge4,AAge5,AAge6,AAge7,AAge8,AAge9,AAge10,AAge11,AAge12,AAge13,AAge14,AAge15,AAge16,AAge17,AAge18,AAge19,AAge20,AAge21,AAge22,AAge23,AAge24,AAge25,AAge26,AAge27
2003,1,2,0.020856124,0.3433485769,0.3441216408,0.2158870196,0.0411046343,0.0419819271,0.0508897388,0.0336731872,0.0220129301,0.0020873631,0.0009165312,0.0004889207,0.0001069026,0.0000328811,0,0.0000328811,0,0.0000328811,0.000191009,0,0,0,0,0,0,0,0
2004,1,2,0.0065579997,0.2073181227,0.8371714247,0.1724939743,0.2879986847,0.0298421809,0.0183255702,0.0461069386,0.0115317964,0.0027420498,0.0008620611,0.0002189197,0.0001591105,0,0.0001894145,0,0,0,0.0001228108,0,0,0,0,0,0,0,0
2005,1,2,0.0084930716,0.3271099173,0.4255951803,0.2404409927,0.0900371664,0.0395287705,0.0127361504,0.0174592138,0.0371790541,0.0070178609,0.0043464537,0,0,0,0.0006865187,0.0006011272,0.0005708894,0,0.0005994339,0.0014134667,0,0,0,0,0,0,0
2006,1,2,0.0264706605,0.6226160902,0.4216897498,0.1859126341,0.099837907,0.0442377935,0.0213837161,0.0045703626,0.0063647949,0.0140975761,0.0015007319,0.0043230363,0,0,0.0005854935,0,0,0.0006888159,0,0,0,0,0,0,0,0,0
2007,1,2,0,0.117014537,0.2742350811,0.1567513605,0.0653599832,0.026616889,0.008325896,0.0058923584,0.0054585815,0.005636939,0.0019316523,0.002303838,0.0022915293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,2,0.0017564806,0.4978930589,0.2151254659,0.1256971005,0.0317905814,0.0192454357,0.0153051535,0.0046721637,0.0019192342,0.0005160863,0.0002430666,0.0001799535,0.0001019815,0.0000240095,0.0000269813,0.0000240095,0,0.0000269813,0.0000269813,0.0000269813,0,0,0,0,0,0,0
2009,1,2,0.0211943046,0.4353288543,0.4422219627,0.1528394796,0.0598128665,0.0331030404,0.0226941756,0.0079648565,0.0033431925,0.0013018772,0,0.0026037544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,2,0.0647388571,0.7402133171,0.5829812879,0.3845761643,0.0479189382,0.0415029509,0.0119952249,0.0061701869,0.0023009922,0.0047470993,0.0011504961,0.006622702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,2,0.002938544,1.0370464371,0.8029691027,0.3151187275,0.1107360625,0.0103180765,0.0181288483,0.0132631865,0.0021540239,0.001984199,0.0016157909,0.000093059,0.000093059,0.0029814941,0,0.0011831925,0,0.0000326964,0,0,0,0,0,0,0,0,0
2012,1,2,0.0494984978,0.3204995344,1.2439471655,0.5824145036,0.1365485082,0.1347918963,0.0121371085,0.0144254043,0.0115270917,0.0025913556,0.0051989993,0.0049471333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,2,0,0.2266890224,1.4641865697,1.2671043524,0.4403084123,0.2032552981,0.0755061094,0.0275649015,0.0077368789,0.0037886636,0,0.0012684957,0.0012684957,0,0,0,0,0.0012684957,0,0,0,0,0,0,0,0,0
2014,1,2,0.03548275,1.319797284,1.6647790616,2.1308293497,0.8328568122,0.6237114226,0.1572964824,0.0350538578,0.0371484109,0,0.0035336667,0.00265025,0,0,0.0011778889,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,2,0.0016784148,0.8297622663,1.257130266,0.9233582109,1.0196856517,0.5143799529,0.1222145317,0.0128907617,0.0566920837,0.0023809853,0.0093154347,0.0000408854,0.0000408854,0.0000204427,0,0.0000204427,0,0.0000204427,0,0,0,0,0,0,0,0,0
2016,1,2,0.0033568296,0.3887210579,1.50073462,0.8157445965,0.3896522219,0.3426977969,0.2351356472,0.0186050167,0.056730528,0,0.0098937394,0,0.0028762403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,2,0.0083920741,0.2734688532,0.5985856837,1.5809798468,0.3446727423,0.4536494278,0.2886734237,0.0563499887,0.1485529321,0.013814645,0.0264081583,0.0106433051,0.0054248655,0,0.0033568296,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,2,0,0.2730774994,0.765289223,0.9806866884,0.6563497784,0.1850327432,0.1112903326,0.0873483927,0.0302633863,0.0263229229,0.0030350849,0.0017983016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,2,0.0002927298,0.1740715859,0.498282538,0.5247382096,0.482079318,0.3039476624,0.1153367817,0.0630658514,0.0315684791,0.01902716,0.0124644406,0,0.0012684957,0.0015856197,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,0,0.7236873888,0.6876859008,0.286551445,0.1324310278,0.0833516837,0.0646730791,0.0146861296,0.0183201245,0.0088404566,0.0073055273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,2,0.00211269,0.9929342784,1.7363595162,1.1438702468,0.1841311612,0.0630358958,0.0510755065,0.0349013699,0.0058015804,0.008438062,0.0073611358,0.0031734158,0.0031734158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,2,0,0.0894816048,0.8265493022,1.0442544083,0.7623116043,0.1276341998,0.0531186375,0.0238785959,0.0208974009,0.0094880833,0.0065601085,0.0013610534,0.0034083495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
